event_id,user,destination,volume_mb,predicted_content_label,classifier_confidence,baseline_mean_mb,baseline_std_mb,z_score,is_anomaly,risk_score,decision,true_content_label,is_spike_injected,ground_truth_leak
43,dave,external_usb,17.7,Restricted,0.9997,15.0,1.58,1.708,False,4,BLOCK,Restricted,False,True
44,dave,external_usb,18.7,Restricted,0.9997,15.0,1.58,2.34,True,6,BLOCK,Restricted,False,True
45,bob,internal_drive,453.3,Restricted,0.9998,20.8,2.77,155.862,True,4,BLOCK,Restricted,True,True
46,dave,personal_email,17.7,Unrestricted,0.9996,15.0,1.58,1.708,False,2,ALERT,Unrestricted,False,False
47,alice,internal_drive,150.2,Internal,0.9998,172.33,395.68,-0.056,False,1,ALLOW,Internal,False,False
48,alice,external_usb,4336.1,Unrestricted,0.9994,172.33,395.68,10.523,True,4,BLOCK,Unrestricted,True,False
49,bob,personal_email,474.3,Internal,0.9998,20.8,2.77,163.43,True,5,BLOCK,Internal,True,True
50,alice,personal_email,221.4,Restricted,0.9997,172.33,395.68,0.124,False,4,BLOCK,Restricted,False,True
51,alice,internal_drive,177.9,Restricted,0.9996,172.33,395.68,0.014,False,2,ALERT,Restricted,False,False
52,alice,internal_drive,220.4,Restricted,0.9997,172.33,395.68,0.121,False,2,ALERT,Restricted,False,False
53,bob,personal_email,16.0,Restricted,0.9996,20.8,2.77,-1.73,False,4,BLOCK,Restricted,False,True
54,dave,internal_drive,121.0,Internal,0.9998,15.0,1.58,67.04,True,3,ALERT,Internal,True,True
55,dave,cloud_upload,18.4,Unrestricted,0.9993,15.0,1.58,2.15,True,3,ALERT,Unrestricted,False,False
56,carol,personal_email,290.4,Internal,0.9997,245.2,533.75,0.085,False,3,ALERT,Internal,False,True
57,dave,external_usb,224.5,Restricted,0.9993,15.0,1.58,132.499,True,6,BLOCK,Restricted,True,True
58,alice,internal_drive,111.3,Internal,0.9998,172.33,395.68,-0.154,False,1,ALLOW,Internal,False,False
59,dave,external_usb,363.8,Internal,0.9998,15.0,1.58,220.6,True,5,BLOCK,Internal,True,True
60,bob,internal_drive,23.7,Restricted,0.9997,20.8,2.77,1.045,False,2,ALERT,Restricted,False,False
61,bob,personal_email,759.0,Internal,0.9998,20.8,2.77,266.029,True,5,BLOCK,Internal,True,True
62,bob,internal_drive,19.5,Unrestricted,0.9995,20.8,2.77,-0.468,False,0,ALLOW,Unrestricted,False,False
63,carol,cloud_upload,7581.1,Unrestricted,0.9993,245.2,533.75,13.744,True,3,ALERT,Unrestricted,True,False
64,bob,cloud_upload,23.7,Restricted,0.9997,20.8,2.77,1.045,False,3,ALERT,Restricted,False,True
65,carol,personal_email,294.6,Restricted,0.9997,245.2,533.75,0.093,False,4,BLOCK,Restricted,False,True
66,alice,internal_drive,241.1,Internal,0.9998,172.33,395.68,0.174,False,1,ALLOW,Internal,False,False
67,alice,internal_drive,173.1,Unrestricted,0.9993,172.33,395.68,0.002,False,0,ALLOW,Unrestricted,False,False
68,bob,cloud_upload,27.1,Restricted,0.9996,20.8,2.77,2.27,True,5,BLOCK,Restricted,False,True
69,carol,cloud_upload,8503.5,Restricted,0.9993,245.2,533.75,15.472,True,5,BLOCK,Restricted,True,True
70,carol,internal_drive,255.9,Internal,0.9998,245.2,533.75,0.02,False,1,ALLOW,Internal,False,False
71,alice,external_usb,6285.1,Internal,0.9998,172.33,395.68,15.449,True,5,BLOCK,Internal,True,True
72,bob,cloud_upload,306.6,Restricted,0.9996,20.8,2.77,102.995,True,5,BLOCK,Restricted,True,True
73,carol,external_usb,314.4,Unrestricted,0.9993,245.2,533.75,0.13,False,2,ALERT,Unrestricted,False,False
74,dave,cloud_upload,19.2,Restricted,0.9993,15.0,1.58,2.656,True,5,BLOCK,Restricted,False,True
75,alice,personal_email,109.5,Internal,0.9998,172.33,395.68,-0.159,False,3,ALERT,Internal,False,True
76,carol,external_usb,198.5,Internal,0.9998,245.2,533.75,-0.087,False,3,ALERT,Internal,False,True
77,dave,personal_email,10.3,Unrestricted,0.9995,15.0,1.58,-2.973,True,4,BLOCK,Unrestricted,False,False
78,bob,internal_drive,22.2,Restricted,0.9993,20.8,2.77,0.505,False,2,ALERT,Restricted,False,False
79,bob,personal_email,371.6,Restricted,0.9996,20.8,2.77,126.42,True,6,BLOCK,Restricted,True,True
80,alice,cloud_upload,2754.7,Internal,0.9998,172.33,395.68,6.526,True,4,BLOCK,Internal,True,True
81,alice,cloud_upload,225.3,Unrestricted,0.9993,172.33,395.68,0.134,False,1,ALLOW,Unrestricted,False,False
82,dave,external_usb,11.8,Restricted,0.9996,15.0,1.58,-2.024,True,6,BLOCK,Restricted,False,True
83,bob,external_usb,12.9,Internal,0.9998,20.8,2.77,-2.847,True,5,BLOCK,Internal,False,True
84,carol,personal_email,316.6,Restricted,0.9996,245.2,533.75,0.134,False,4,BLOCK,Restricted,False,True
85,bob,cloud_upload,633.2,Restricted,0.9993,20.8,2.77,220.694,True,5,BLOCK,Restricted,True,True
86,dave,internal_drive,11.7,Internal,0.9998,15.0,1.58,-2.087,True,3,ALERT,Internal,False,False
87,dave,cloud_upload,18.5,Internal,0.9998,15.0,1.58,2.214,True,4,BLOCK,Internal,False,True
88,bob,external_usb,294.9,Internal,0.9998,20.8,2.77,98.779,True,5,BLOCK,Internal,True,True
89,carol,cloud_upload,336.8,Internal,0.9998,245.2,533.75,0.172,False,2,ALERT,Internal,False,True
90,carol,cloud_upload,225.5,Restricted,0.9997,245.2,533.75,-0.037,False,3,ALERT,Restricted,False,True
91,carol,internal_drive,9575.8,Unrestricted,0.9993,245.2,533.75,17.481,True,2,ALERT,Unrestricted,True,False
92,bob,cloud_upload,563.5,Internal,0.9998,20.8,2.77,195.576,True,4,BLOCK,Internal,True,True
93,carol,cloud_upload,340.2,Restricted,0.9993,245.2,533.75,0.178,False,3,ALERT,Restricted,False,True
94,alice,personal_email,129.6,Restricted,0.9993,172.33,395.68,-0.108,False,4,BLOCK,Restricted,False,True
95,alice,personal_email,6482.9,Restricted,0.9997,172.33,395.68,15.949,True,6,BLOCK,Restricted,True,True
96,bob,cloud_upload,28.3,Restricted,0.9993,20.8,2.77,2.703,True,5,BLOCK,Restricted,False,True
97,carol,cloud_upload,171.6,Internal,0.9998,245.2,533.75,-0.138,False,2,ALERT,Internal,False,True
98,carol,cloud_upload,211.1,Unrestricted,0.9997,245.2,533.75,-0.064,False,1,ALLOW,Unrestricted,False,False
99,carol,external_usb,7178.9,Restricted,0.9997,245.2,533.75,12.991,True,6,BLOCK,Restricted,True,True
100,dave,external_usb,12.6,Internal,0.9998,15.0,1.58,-1.518,False,3,ALERT,Internal,False,True
101,alice,cloud_upload,3749.4,Restricted,0.9997,172.33,395.68,9.04,True,5,BLOCK,Restricted,True,True
102,carol,personal_email,279.7,Restricted,0.9997,245.2,533.75,0.065,False,4,BLOCK,Restricted,False,True
103,dave,external_usb,12.4,Restricted,0.9996,15.0,1.58,-1.644,False,4,BLOCK,Restricted,False,True
104,carol,internal_drive,294.5,Internal,0.9998,245.2,533.75,0.092,False,1,ALLOW,Internal,False,False
105,carol,external_usb,176.0,Restricted,0.9997,245.2,533.75,-0.13,False,4,BLOCK,Restricted,False,True
106,alice,external_usb,187.7,Restricted,0.9997,172.33,395.68,0.039,False,4,BLOCK,Restricted,False,True
107,alice,personal_email,190.2,Restricted,0.9996,172.33,395.68,0.045,False,4,BLOCK,Restricted,False,True
108,bob,personal_email,16.5,Unrestricted,0.9994,20.8,2.77,-1.55,False,2,ALERT,Unrestricted,False,False
109,alice,internal_drive,133.6,Restricted,0.9997,172.33,395.68,-0.098,False,2,ALERT,Restricted,False,False
110,dave,internal_drive,20.0,Internal,0.9998,15.0,1.58,3.162,True,3,ALERT,Internal,False,False
111,alice,personal_email,3941.0,Restricted,0.9993,172.33,395.68,9.524,True,6,BLOCK,Restricted,True,True
112,carol,personal_email,288.2,Unrestricted,0.9995,245.2,533.75,0.081,False,2,ALERT,Unrestricted,False,False
113,dave,personal_email,17.9,Restricted,0.9996,15.0,1.58,1.834,False,4,BLOCK,Restricted,False,True
114,dave,personal_email,238.7,Restricted,0.9993,15.0,1.58,141.48,True,6,BLOCK,Restricted,True,True
115,carol,personal_email,201.0,Restricted,0.9996,245.2,533.75,-0.083,False,4,BLOCK,Restricted,False,True
116,alice,cloud_upload,3230.8,Internal,0.9998,172.33,395.68,7.73,True,4,BLOCK,Internal,True,True
117,alice,external_usb,3491.0,Unrestricted,0.9997,172.33,395.68,8.387,True,4,BLOCK,Unrestricted,True,False
118,bob,external_usb,437.7,Unrestricted,0.9993,20.8,2.77,150.24,True,4,BLOCK,Unrestricted,True,False
119,dave,personal_email,519.8,Unrestricted,0.9997,15.0,1.58,319.264,True,4,BLOCK,Unrestricted,True,False
120,dave,internal_drive,18.2,Internal,0.9998,15.0,1.58,2.024,True,3,ALERT,Internal,False,False
121,dave,personal_email,288.8,Restricted,0.9997,15.0,1.58,173.166,True,6,BLOCK,Restricted,True,True
122,dave,personal_email,17.8,Restricted,0.9993,15.0,1.58,1.771,False,4,BLOCK,Restricted,False,True
123,bob,personal_email,456.5,Unrestricted,0.9993,20.8,2.77,157.015,True,4,BLOCK,Unrestricted,True,False
124,alice,personal_email,197.0,Unrestricted,0.9997,172.33,395.68,0.062,False,2,ALERT,Unrestricted,False,False
125,dave,external_usb,20.0,Restricted,0.9997,15.0,1.58,3.162,True,6,BLOCK,Restricted,False,True
126,alice,personal_email,194.8,Restricted,0.9996,172.33,395.68,0.057,False,4,BLOCK,Restricted,False,True
127,alice,personal_email,3924.8,Internal,0.9998,172.33,395.68,9.484,True,5,BLOCK,Internal,True,True
128,alice,cloud_upload,132.6,Unrestricted,0.9993,172.33,395.68,-0.1,False,1,ALLOW,Unrestricted,False,False
129,carol,cloud_upload,221.5,Internal,0.9998,245.2,533.75,-0.044,False,2,ALERT,Internal,False,True
130,dave,cloud_upload,14.6,Unrestricted,0.9997,15.0,1.58,-0.253,False,1,ALLOW,Unrestricted,False,False
131,alice,cloud_upload,1757.1,Internal,0.9998,172.33,395.68,4.005,True,4,BLOCK,Internal,True,True
132,alice,internal_drive,130.9,Unrestricted,0.9993,172.33,395.68,-0.105,False,0,ALLOW,Unrestricted,False,False
133,alice,external_usb,3990.2,Unrestricted,0.9997,172.33,395.68,9.649,True,4,BLOCK,Unrestricted,True,False
134,alice,external_usb,138.7,Unrestricted,0.9993,172.33,395.68,-0.085,False,2,ALERT,Unrestricted,False,False
135,carol,external_usb,336.2,Restricted,0.9996,245.2,533.75,0.17,False,4,BLOCK,Restricted,False,True
136,alice,external_usb,118.3,Unrestricted,0.9997,172.33,395.68,-0.137,False,2,ALERT,Unrestricted,False,False
137,alice,cloud_upload,228.6,Unrestricted,0.9995,172.33,395.68,0.142,False,1,ALLOW,Unrestricted,False,False
138,dave,personal_email,11.4,Internal,0.9998,15.0,1.58,-2.277,True,5,BLOCK,Internal,False,True
139,bob,internal_drive,17.5,Internal,0.9998,20.8,2.77,-1.189,False,1,ALLOW,Internal,False,False
140,alice,internal_drive,162.5,Restricted,0.9993,172.33,395.68,-0.025,False,2,ALERT,Restricted,False,False
141,carol,internal_drive,214.1,Internal,0.9998,245.2,533.75,-0.058,False,1,ALLOW,Internal,False,False
142,dave,personal_email,581.2,Internal,0.9998,15.0,1.58,358.096,True,5,BLOCK,Internal,True,True
143,dave,external_usb,17.8,Restricted,0.9997,15.0,1.58,1.771,False,4,BLOCK,Restricted,False,True
144,carol,personal_email,309.1,Restricted,0.9997,245.2,533.75,0.12,False,4,BLOCK,Restricted,False,True
145,carol,cloud_upload,310.1,Internal,0.9998,245.2,533.75,0.122,False,2,ALERT,Internal,False,True
146,alice,cloud_upload,137.0,Restricted,0.9998,172.33,395.68,-0.089,False,3,ALERT,Restricted,False,True
147,dave,personal_email,14.9,Unrestricted,0.9995,15.0,1.58,-0.063,False,2,ALERT,Unrestricted,False,False
148,carol,external_usb,216.7,Restricted,0.9996,245.2,533.75,-0.053,False,4,BLOCK,Restricted,False,True
149,carol,cloud_upload,6639.3,Internal,0.9998,245.2,533.75,11.98,True,4,BLOCK,Internal,True,True
150,carol,internal_drive,184.6,Unrestricted,0.9993,245.2,533.75,-0.114,False,0,ALLOW,Unrestricted,False,False
